,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
The Chronicles of Narnia: The Voyage of the Dawn Treader,/title/tt0980970/?ref_=bo_cso_table_89,689,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950",2010,24005069,245000000,104386950,311299267,415686217,113.0,PG,December,"['Adventure', 'Family', 'Fantasy']"
Daddy Day Care,/title/tt0317303/?ref_=bo_cso_table_90,690,Daddy Day Care,"$104,297,061",2003,27623580,245000000,104297061,60136806,164433867,92.0,PG,May,"['Comedy', 'Family']"
Daddy's Home 2,/title/tt5657846/?ref_=bo_cso_table_91,691,Daddy's Home 2,"$104,029,443",2017,29651193,245000000,104029443,76584381,180613824,100.0,PG-13,November,['Comedy']
Paranormal Activity 3,/title/tt1778304/?ref_=bo_cso_table_92,692,Paranormal Activity 3,"$104,028,807",2011,52568183,245000000,104028807,103011037,207039844,83.0,R,October,"['Horror', 'Mystery']"
Journey 2: The Mysterious Island,/title/tt1397514/?ref_=bo_cso_table_93,693,Journey 2: The Mysterious Island,"$103,860,290",2012,27335363,245000000,103860290,231400000,335260290,94.0,PG,January,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
The Mule,/title/tt7959026/?ref_=bo_cso_table_94,694,The Mule,"$103,804,407",2018,17509431,245000000,103804407,71000000,174804407,116.0,R,December,"['Crime', 'Drama', 'Thriller']"
Dick Tracy,/title/tt0099422/?ref_=bo_cso_table_95,695,Dick Tracy,"$103,738,726",1990,22543911,245000000,103738726,59000000,162738726,105.0,,June,"['Action', 'Comedy', 'Crime', 'Music', 'Romance', 'Thriller']"
Rise of the Guardians,/title/tt1446192/?ref_=bo_cso_table_96,696,Rise of the Guardians,"$103,412,758",2012,23773465,245000000,103412758,203528912,306941670,97.0,PG,November,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Dreamgirls,/title/tt0443489/?ref_=bo_cso_table_97,697,Dreamgirls,"$103,365,956",2006,378950,245000000,103365956,52064379,155430335,130.0,PG-13,December,"['Drama', 'Music', 'Musical']"
9 to 5,/title/tt0080319/?ref_=bo_cso_table_98,698,9 to 5,"$103,290,500",1980,3966832,245000000,103290500,9643,103300143,109.0,,December,['Comedy']
Independence Day: Resurgence,/title/tt1628841/?ref_=bo_cso_table_99,699,Independence Day: Resurgence,"$103,144,286",2016,41039944,245000000,103144286,286537649,389681935,,PG-13,June,"['Action', 'Adventure', 'Sci-Fi']"
The Expendables,/title/tt1320253/?ref_=bo_cso_table_100,700,The Expendables,"$103,068,524",2010,34825135,245000000,103068524,171401870,274470394,103.0,R,August,"['Action', 'Adventure', 'Thriller']"
Scream,/title/tt0117571/?ref_=bo_cso_table_101,701,Scream,"$103,046,663",1996,6354586,245000000,103046663,70000000,173046663,111.0,R,December,"['Horror', 'Mystery']"
Just Go with It,/title/tt1564367/?ref_=bo_cso_table_102,702,Just Go with It,"$103,028,109",2011,30514732,245000000,103028109,111917482,214945591,117.0,PG-13,February,"['Comedy', 'Romance']"
Murder on the Orient Express,/title/tt3402236/?ref_=bo_cso_table_103,703,Murder on the Orient Express,"$102,826,543",2017,28681472,245000000,102826543,249967538,352794081,114.0,PG-13,November,"['Crime', 'Drama', 'Mystery']"
The General's Daughter,/title/tt0144214/?ref_=bo_cso_table_104,704,The General's Daughter,"$102,705,852",1999,22332053,245000000,102705852,47000000,149705852,116.0,R,June,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Aviator,/title/tt0338751/?ref_=bo_cso_table_105,705,The Aviator,"$102,610,330",2004,858021,245000000,102610330,111109612,213719942,170.0,PG-13,December,"['Biography', 'Drama']"
American Pie,/title/tt0163651/?ref_=bo_cso_table_106,706,American Pie,"$102,561,004",1999,18709680,245000000,102561004,132922000,235483004,95.0,R,July,['Comedy']
Daredevil,/title/tt0287978/?ref_=bo_cso_table_107,707,Daredevil,"$102,543,518",2003,40310419,245000000,102543518,76636200,179179718,103.0,PG-13,February,"['Action', 'Crime']"
The Girl with the Dragon Tattoo,/title/tt1568346/?ref_=bo_cso_table_108,708,The Girl with the Dragon Tattoo,"$102,515,793",2011,12768604,245000000,102515793,130101637,232617430,158.0,R,December,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Mummy: Tomb of the Dragon Emperor,/title/tt0859163/?ref_=bo_cso_table_109,709,The Mummy: Tomb of the Dragon Emperor,"$102,491,776",2008,40457770,245000000,102491776,300958054,403449830,112.0,PG-13,July,"['Action', 'Adventure', 'Fantasy', 'Horror', 'War']"
The Conjuring 2,/title/tt3065204/?ref_=bo_cso_table_110,710,The Conjuring 2,"$102,470,008",2016,40406314,245000000,102470008,217922810,320392818,134.0,R,June,"['Horror', 'Mystery', 'Thriller']"
The Maze Runner,/title/tt1790864/?ref_=bo_cso_table_111,711,The Maze Runner,"$102,427,862",2014,32512804,245000000,102427862,245891999,348319861,113.0,PG-13,September,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']"
In the Line of Fire,/title/tt0107206/?ref_=bo_cso_table_112,712,In the Line of Fire,"$102,314,823",1993,15269388,245000000,102314823,74682345,176997168,128.0,R,July,"['Action', 'Crime', 'Drama', 'Thriller']"
Butch Cassidy and the Sundance Kid,/title/tt0064115/?ref_=bo_cso_table_113,713,Butch Cassidy and the Sundance Kid,"$102,308,889",1969,0,245000000,102308889,1808,102310697,110.0,PG,September,"['Biography', 'Crime', 'Drama', 'Western']"
Mary Poppins,/title/tt0058331/?ref_=bo_cso_table_114,714,Mary Poppins,"$102,272,727",1964,0,245000000,102272727,809653,103082380,139.0,G,August,"['Comedy', 'Family', 'Fantasy', 'Musical']"
Bambi,/title/tt0034492/?ref_=bo_cso_table_115,715,Bambi,"$102,247,150",1942,0,245000000,102247150,165200000,267447150,70.0,G,August,"['Animation', 'Drama', 'Family']"
Annabelle: Creation,/title/tt5140878/?ref_=bo_cso_table_116,716,Annabelle: Creation,"$102,092,201",2017,35006404,245000000,102092201,204423683,306515884,109.0,R,August,"['Horror', 'Mystery', 'Thriller']"
The Equalizer 2,/title/tt3766354/?ref_=bo_cso_table_117,717,The Equalizer 2,"$102,084,362",2018,36011640,245000000,102084362,88315795,190400157,121.0,R,July,"['Action', 'Crime', 'Thriller']"
Jackass Presents: Bad Grandpa,/title/tt3063516/?ref_=bo_cso_table_118,718,Jackass Presents: Bad Grandpa,"$102,003,019",2013,32055177,245000000,102003019,49823528,151826547,92.0,R,October,['Comedy']
